Peak_Coordinates	BCL11A	CTCF	CTCFL	DNMT1	ETS2	GTF2I	GTF3A	IRF2	KLF1	KLF10	KLF11	KLF13	KLF15	KLF16	KLF2	KLF4	KLF5	KLF7	KLF9	LYL1	MAZ	MZF1	PATZ1	PRDM6	RBAK	RREB1	SALL2	SALL4	SP1	SP2	SP4	SP5	SP7	SP8	SP9	STAT2	TAL1	TCF12	VEZF1	WT1	ZBTB17	ZBTB7A	ZBTB7C	ZFP14	ZFP28	ZFP57	ZFP64	ZFP69B	ZFX	ZFY	ZNF121	ZNF124	ZNF132	ZNF169	ZNF180	ZNF181	ZNF182	ZNF189	ZNF202	ZNF205	ZNF219	ZNF23	ZNF263	ZNF267	ZNF281	ZNF283	ZNF30	ZNF304	ZNF311	ZNF341	ZNF354C	ZNF37A	ZNF384	ZNF394	ZNF398	ZNF436	ZNF441	ZNF444	ZNF467	ZNF484	ZNF513	ZNF527	ZNF530	ZNF543	ZNF548	ZNF557	ZNF566	ZNF571	ZNF596	ZNF613	ZNF658	ZNF682	ZNF71	ZNF766	ZNF77	ZNF770	ZNF774	ZNF776	ZNF786	ZNF823	ZNF84	ZNF846	ZNF860	ZSCAN22	ZSCAN30
chr10_11160517_11161018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.583	0	0	0	0	0	0	0	0	0.449	0	0	0.6725	0	0	0	0	0	0.189	0	0	0	0	0	0	0	0.4395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205	0	0	0
chr10_11232885_11233386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9525	0	0	0
chr10_14781094_14781595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0.309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4185	0	0	0	0	0	0	0	0.192	0	0	0	0	0	0	0	0	0	0	0
chr10_18791599_18792100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1265	0	0	0	0	0	0	0.505	0	0	0	0.6375	0	0	0	0	0	0	0	0	0	0	0	0	0.447	0	0	0	0	0	0	0	0	0.2855	0	0	0	0	0	0.3185	0.1885	0	0	0	0	0	0	0	0	0	0	0.4105	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124	0.9165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1515	0	0	0	0	0	0
chr10_20714176_20714677	0	0	0	0	0	0	0	0	0	0	0.429	0	0	0	0	0	0.3585	0	0	0	0.3255	0.1215	0	0	0	0	0	0	0	0	0	0	0.171	0	0	0	0	0.229	0.8655	0.6765	0	0	0	0	0	0.852	0.3585	0.159	0	0	0	0	0	0.643	0.414	0	0	0	0.294	0	0	0	0.5265	0.3765	0	0	0.2915	0	0.22	0.392	0	0	0	0	0	0	0.9395	0	0.456	0	0	0	0	0	0.721	0.1515	0	0.22	0	0	0.2095	0	0	0	0	0	0.611	0	0	0	0	0.776	0.153	0.626	0
chr10_31647690_31648191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218	0.6115	0	0	0	0	0	0	0	0	0	0	0	0	0.713	0	0	0	0	0	0	0.1455	0	0	0	0	0	0.462	0	0	0	0	0.805	0	0	0	0	0	0	0	0	0	0	0	0.724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.649	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_31688074_31688575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.353	0	0	0	0	0	0.351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.77	0	0	0	0	0	0	0	0	0
chr10_43124904_43125405	0	0	0	0	0.3135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3385	0.4105	0	0	0	0	0	0	0	0	0.744	0	0	0	0	0	0	0	0	0.131	0	0	0	0	0	0	0.3775	0	0.7575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2885	0	0	0	0	0	0	0	0	0	0.857	0	0	0	0	0	0	0.6545	0	0
chr10_45748234_45748735	0	0	0	0	0.634	0	0	0	0	0	0	0	0	0	0.284	0	0	0	0	0	0	0	0	0.6815	0	0	0.3845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256	0	0	0	0	0	0	0.2875	0.4205	0	0	0	0	0	0	0	0	0.4435	0	0
chr10_64569224_64569725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.662	0	0	0	0	0.544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.409	0	0	0	0	0	0	0	0	0	0.4035	0.648	0	0.996	0	0	0	0	0	0
chr10_70079839_70080340	0	0.689	0.412	0	0	0	0	0	0.345	0.736	0	0	0.5005	0	0	0.309	0.604	0.8155	0.448	0	0	0	0	0	0	0	0	0	0.808	0	0.4035	0	0	0.686	0.7445	0	0	0	0.6345	0.6585	0	0.3785	0.157	0.4505	0	0	0	0	0.3825	0.2305	0	0	0	0.3775	0.5475	0	0	0	0.696	0	0	0	0.347	0	0	0	0	0.8225	0	0.506	0	0	0	0	0	0	0	0	0.4715	0	0	0	0	0.376	0.339	0.255	0	0	0	0	0	0	0	0	0	0.226	0.339	0	0	0	0	0.1945	0	0.2185	0.7335
chr10_70203315_70203816	0	0.2295	0	0	0	0	0	0	0	0.9955	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.944	0	0	0	0	0	0	0	0	0	0.867	0.9805	0.373	0	0.8755	0	0.997	0	0	0.958	0.952	0	0	0	0	0	0	0.9955	0.741	0	0	0	0.1655	0	0	0	0	0	0	0.2135	0.9725	0.27	0.669	1	0	0	0	1	0	0	0.442	0	0	0	0	0	0	0	0	0	0.502	0.9995	0.861	0	0.9075	0	0	0	0	0.9715	0.827	0	0.993	0.9915	0	0.95	0	0	0
chr10_76416345_76416846	0.155	0	0	0	0	0.939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9985	0	0	0	0	0	0	0	0	0	0	0	0.8305	0	0	0.208	0	0.5965	0	0	0	0.5505	0	0	0	0	0	0	0	0	0.786	0	0	0.735	0	0	0	0	0	0	0	0.8965	0	0	0	0	0	0	0.4	0.304	0	0	0	0	0.468	0	0	0	0	0	0	0	0	0	0	0	0.214	0	0	0	0.238	0	0	0	0	0	0	0	0	0	0	0
chr10_76668774_76669275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0.9775	0.9735	0	0	0.9585	0	0	0	0	0	0	0	0	0	0	0.8085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55	0	0	0	0	0	0.999	0	0	0	0	0	0	0	0	0	0	0	0	0.649
chr10_80966556_80967057	0.9745	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2045	0	0	0	0	0	0	0	0	0	0	0	1	0.9965	0	0	0	0	0	0	0	0	0	0	0.1675	0	0.6295	0	0	0	0	0.2535	0	0	0	0	0	0	0.9995	0	0	0.296	0	0.6895	0	0.9865	0	0	0	0	0	0	0	0	0.8235	0	0	0	0	0	0.1995	0	0	0	0.116	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.1845	0	0	0	0	0.138	0	0	0
chr10_81133391_81133892	0	0	0	0	0	0.7415	0	0	0	0	0	0	0	0	0.285	0	0	0	0	0	0	0	0.242	0	0	0	0.354	0	0	0	0	0	0.2455	0	0	0	0	0.638	0	0.441	0	0	0	0	0	0	0	0	0	0	0	0.605	0	0	0	0	0	0	0	0	0.9615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1625	0.6375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1945	0	0	0
chr10_85135564_85136065	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.553	0.88	0	0	0	0.3065	0.552	0.2825	0	0	0	0	0	0	0	0	0	0	0.136	0	0.572	0.4225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2355	0	0	0.229	0.311	0	0	0	0	0	0	0.703	0	0	0	0	0.173	0	0	0	0.1465	0	0	0	0	0	0	0	0	0	0
chr10_94889290_94889791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7185	0	0.989	0	0	0	0	0	0	0	0	0	0	0	0	0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.6105	0	0.991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3135	0.997	0.9885	0	0.814	0	0	0	0	0
chr10_98742059_98742560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4805	0	0	0	0	0	0	0	0	0	0	0	0.7255	0.8775	0	0	0	0	0	0	0	0	0	0	0.593	0	0	0	0	0	0	0.411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9875	0	0	0.591	0	0	0	0	0.4175	0.468	0	0.8525	0	0	0	0	0	0.662	0.4195	0.3185	0	0	0	0	0	0	0	0	0.8495	0	0	0	0	0	0	0.8945	0.276	0	0	0.3005	0	0.451	0	0	0
chr10_98908661_98909162	0	0	0	0	0	0	0.8905	0	0.192	0.988	0	0.4165	0.947	0.5885	0.37	0	0.9995	1	0.9375	0	0.299	0	0	0	0	0	1	0	1	0.995	0.2425	0	0.9975	0.836	0.446	0	0	0.552	0.163	1	0	0	0	0	0	0	0	1	0.9685	0.2835	0	0	0	0	0.8195	0	0	0	0	0	0	0	0	0	0	0	0	0.4605	0	1	0	0	0	0	0	0	1	0	0.3905	0	0	0	0	0	0	0	0	0	0	0	0.887	0	0	0	0	0	0	0	0.9565	0	0	0	0	0	0
chr10_99261106_99261607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.674	0	0	0	0.993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216	0	0.821	0	0	0	0.6385	0	0	0	0	0.743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2495	0	0	0.9825	0.9185	0	0	0	0	0	0	0	0	0	0.141	0.852	0	0.7965	0	0	0	0	0	0
chr10_99277971_99278472	0	0.194	0.611	0.997	0	0	0	0	0	0.8495	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.975	0	0	0	0	0	0.716	0	0	0	0	0	0.152	0.133	0.777	0.995	0.1465	0	0	0.468	0.9605	0	0.416	0	0	0	0	0	0.954	0	0	0	0	0	0	0.8505	0	0.2775	0	0.1845	0.864	0.538	0.9995	1	0	0	0	0	0	0	0	0.846	0.283	0	0	0	0	0.281	0.6515	0	0.9915	0.999	0	0	0	0.1575	0	0	0	0.7965	0	0	0	0	0	0.3245	0	0.709	0
chr10_99313069_99313570	0	0	0	0	0.4785	0	0	0	0	0.3815	0	0	0	0	0	0	0	0	0.7775	0	0.18	0	0.9545	0	0.902	0	0	0	0	0	0	0	0	0	0	0	0.806	0	0	0	0	0	0	0	0	0.9975	0	0	0	0	0	0.9985	0	0.959	0.9515	0	0	0	0.2975	0	0	0	0	0.266	0.9645	0	0	0	0	0.1485	0	0	0	0	0.331	0	0	0	0.824	0	0	0.6305	0	0.5415	0	0.7955	0.7235	0	0.9855	0	0	0	0	0	0	0.988	0	0.3395	0.1935	0	0	0.6835	0.1675	0	0
chr11_6579056_6579557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.423	0	0
chr11_27423051_27423552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr11_43903947_43904448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6245	0	0	0	0	0	0	0	0	0.259	0	0	0	0.9	0	0	0	0	0	0
chr11_47201282_47201783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1195	0	0	0	0	0	0	0	0	0	0
chr11_47309882_47310383	0	1	0.8295	0	0	0	0	0	0.368	0.999	0	1	0.995	0.3805	0	0	0	0	0.9975	0	0	0	0	0	0.999	0	0	0	1	0	0.992	0	0.8995	0.7255	0.9885	0	0	0	0	0	0	0	0	0	0	0	0	0.1325	0	0	0	0	0	0.993	0.99	0	0	0	0	0	0	0.9945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.346	0	0	0	0.996	0.1565	0	0	0	0.96	0	0	0	0	0.983	0	0	0.3255	0	0	0.939	0	0	0
chr11_55394807_55395308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7495	0	0.374	0	0	0.2655	0	0	0	0	0	0	0	0	0	0	0	0	0.521	0	0.3365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6695	0	0	0	0.6025	0	0	0.791	0	0.377	0	0.7415	0	0	0	0	0	0.587	0.1735	0	0	0	0	0	0.7945	0	0	0	0	0	0.332	0	0	0.8015	0	0	0.1385	0	0	0.6235	0	0	0	0	0
chr11_56171207_56171708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8385	0	0	0	0	0	0.4305	0	0	0	0	0	0	0	0	0	0.185	0	0	0	0	0	0	0.4025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11_56808793_56809294	0.3	0	0	0.951	0	0.253	0.6905	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0.282	0	0	0	0	0.8795	0.9615	0	0	0	0	0	0	0	0.3795	0.8835	0	0.375	0	0.248	0	0	0	0	0	0.3725	0	0	0	0	0	0.143	0.3285	0.5255	0	0	0	0.3065	0	0	0	0.8955	0.338	0.1275	0	0	0.3315	0	0.8665	0	0	0	0	0.8125	0	0	0	0.1895	0.5805	0	0	0	0	0	0	0	0.9175	0.161	0	0	0	0	0	0.98	0	0.7835	0	0	0	0.394	0.7935	0.64	0	0
chr11_99664455_99664956	0	0	0	0	0	0	0.9905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7535	0	0.2345	0	0	0	0	0	0	0	0	0.7365	0	0	0	0.7285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11_105057206_105057707	0.5105	0	0	0	0	0	0	0	0.5975	0.431	0	0.459	0.686	0.371	0	0.7025	0.5285	0.6745	0.6095	0	0.4925	0.804	0	0.4235	0	0	0.732	0.3105	0.543	0	0.506	0	0.1505	0.442	0.6125	0.3025	0	0	0.5255	0.3	0.661	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7445	0	0	0	0.2635	0	0.1295	0.8035	0	0.669	0.6745	0.486	0.691	0.367	0	0.5275	0	0	0	0	0	0	0	0.4095	0.4715	0	0.509	0	0	0.52	0	0.458	0	0	0	0	0	0.696	0.8595	0	0	0.5745	0	0	0.3515	0	0	0.4055	0.7405	0.5	0.879
chr11_111426980_111427481	0	0	0	0	0	0	0	0	0	0	0	0	0.784	0.718	0.1275	0	0.844	0	0	0	0	0	0.768	0	0	0	0.798	0	0.3835	0.37	0.57	0	0	0	0	0	0	0	0.1435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76	0.1445	0	0	0	0.242	0	0	0	0	0	0	0	0.605	0	0	0	0	0	0	0	0.7715	0.247	0	0	0	0	0	0	0	0	0	0	0	0.5645	0	0	0	0	0.166	0
chr11_116043453_116043954	0.9055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5395	0	0.4455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142	0	0	0	0	0	0	0	0	0.803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.501	0.3085	0	0	0	0	0	0.946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2225	0	0	0	0
chr11_116336563_116337064	0	0	0	0	0	0.963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9185	0	0.336	0	0	0	0	0	0	0	0	0	0	0	0	0.4235	0	0	0	0	0.752	0	0	0	0	0	0	0	0	0	0	0.951	0	0	0	0	0.5345	0	0	0.571	0.2725	0	0.703	0	0.152	0.722	0	0	0	0	0	0	0	0	0	0	0	0	0.1705	0	0	0	0	0	0	0	0
chr11_116392926_116393427	0	0	0	0	0	0	0.346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.352	0	0	0	0	0	0	0	0	0	0	0	0	0.659	0	0	0	0	0	0	0	0	0.991	0	0	0	0	0	0	0	0.4005	0	0	0	0	0	0.4325	0	0	0	0	0	0	0	0	0	0	0.124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1985	0	0	0	0	0	0	0	0	0.8235	0	0	0	0	0	0	0.908	0	0	0
chr12_2624565_2625066	0	0	0	0.604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334	0	0	0	0	0	0	0	0	0	0	0	0.1295	0.559	0	0	0	0	0	0	0	0	0.401	0	0	0	0	0	0	0	0	0	0	0	0	0	0.743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.454	0.2905	0	0	0	0	0	0	0.5765	0	0	0
chr12_10928340_10928841	0	0.9215	0.7665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221	0	0	0	0	0	0	0	0	0	0	0	0	0.765	0	0	0	0.4115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12_11093767_11094268	0	0	0	0	0	0	0	0	0.5075	0	0	0	0.5665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0	0	0	0.647	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3485	0	0	0	0	0.245	0	0	0	0	0.203	0	0	0	0	0.1785	0.5095	0	0	0	0.4935	0	0	0.761	0	0	0	0	0	0	0	0.534	0	0	0	0	0	0	0	0	0	0	0.5365	0.5695	0	0	0	0	0.5755	0	0	0
chr12_45804418_45804919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0.9795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.775	0	0	0	0.792	0	0	0.18	0	0	0	0	0	0	0	0.9855	0	0	0	0	0	0	0	0	0	0	0
chr12_45849353_45849854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.959	0	0	0	0	0	0.159	0	0	0	0	0	0	0	0	0	0	1	0	0	0.4435	0	0	0	0	0	0	0	0	0	0	0	0.9015	0	0	0	0	0	0	0	0	0.9785	0	0	0	0	0	0	0	0	0	0
chr12_61748444_61748945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127	0	0	0	0	0	0.7965	0	0	0	0	0	0.404	0	0	0	0	0	0	0	0	0.6915	0	0	0.1875	0	0.9105	0	0	0	0	0	0	0	0	0	0	0	0.9965	0	0.913	0	0.1205	0	0	0.9935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.741	0	0	0	0	0	0	0	0.1685	0	0	0	0	0	0	0	0	0	0	0
chr12_61763283_61763784	0.684	0	0	0.778	0	0	0	0	0.3095	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0.3475	0.2055	0	0	0	0	0	0.398	0	0	0	0.3535	0	0	0	0.8955	0	0.974	0.5395	0	0	0	0	0.6915	0	0	0	0	0	0.895	0	0	0	0	0.7235	0	0.5335	0	0.6905	0	0	0	0	0	0	0.461	0.4405	0	0	0	0	0	0.2155	0	0	0	0.9255	0	0	0	0.4635	0	0	0.22	0	0	0	0	0	0.1485	0.1695	0	0	0
chr12_73798945_73799446	0	0	0	0.4215	0.653	0	0	0	0	0.524	0	0	0	0	0	0	0.2445	0	0	0	0.697	0	0	0	0.4145	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0.263	0.137	0.4635	0	0.2335	0	0	0.6595	0	0	0.246	0	0	0	0.2505	0	0.5015	0	0	0	0.245	0	0	0.4475	0.228	0	0	0	0.68	0	0	0.5445	0	0	0	0.2285	0	0	0	0	0.4715	0.822	0	0	0	0.718	0.4645	0	0.159	0.5605	0	0	0.53	0	0	0	0	0.7455	0.2845	0	0.3655	0	0	0.1875	0	0.325	0.224
chr12_82797214_82797715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.996	0	0	0	0	0	0	0	0	0	0	0	0	0.1245	0	0	0	0	0	0	0	0.98	0	0	0	0	0	0	0	0	0
chr12_83306145_83306646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117	0	0	0	0	0	0	0	0	0	0	0	0.4595	0	0	0	0	0	0	0	0	0	0	0	0	0.3985	0	0.9995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.249	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0.2785	0.154	0	0
chr12_84534593_84535094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.383	0	0	0.9145	0	0.945	0	0	0.193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5825	0	0	0.563	0	0	0	0	0.68	0	0	0	0	0	0.2615	0	0	0
chr12_90833550_90834051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.876	0	0	0	0	0	0.296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.713	0.181	0	0	0.654	0	0.779	0	0	0	0	0	0	0	0	0.6645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6555	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr12_90935064_90935565	0	0	0	0	0	0	0	0	0.273	0.7275	0	0.1965	0.2025	0.3895	0	0.585	0.201	0.308	0.257	0	0	0	0	0	0	0	0	0	0	0	0	0	0.712	0.579	0	0	0	0	0.767	0.844	0.323	0	0	0	0	0.657	0	0	0.593	0	0	0	0	0	0.573	0	0	0.189	0.2415	0	0.374	0.4535	0.1825	0.2075	0	0	0.3765	0.465	0.3685	0.493	0	0	0	0.817	0	0	0.622	0	0.6705	0	0	0	0	0.2445	0.4125	0	0.2015	0.6485	0.47	0	0.2275	0	0	0	0	0.787	0.4765	0	0	0	0	0.522	0	0.3305	0
chr12_93090337_93090838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.948	0	0	0	0	0	0	0.794	0.469	0	0	0	0	0	0	0	0.1415	0	0	0	0	0	0	0	0	0	0	0	0.405	0.853	0.3025	0	0.376	0	0	0.4855	0	0	0	0	0.465	0	0	0	0	0	0.404	0	0.4325	0.5095	0.786	0	0	0	0	0	0	0.5405	0	0	0	0	0	0.325	0	0	0.373
